name	pname	cityname	adname	address	location	lng	lat	rating	cost
綦江吴记老字号秋锅北渡鱼(龙湖源著店)	重庆市	重庆市	江北区	石马河街道龙湖·源著3期42栋114号	106.483251,29.602957	106.55766585007548	29.574639200882807	3.5	87.00
红嘴诱惑串串香	重庆市	重庆市	江北区	鱼嘴镇巨龙江山和顺一支路18号附16号,康强门诊对面	106.768488,29.624734	106.55766585007548	29.574639200882807	3.0	[]
八五老火锅	重庆市	重庆市	江北区	流金家园1号附5/6号(儿童乐园旁)	106.519860,29.576083	106.55766585007548	29.574639200882807	4.0	75.00
眼镜火锅(建北六支路)	重庆市	重庆市	江北区	建北一村96号附近	106.527418,29.579777	106.55766585007548	29.574639200882807	4.0	57.00
美味火锅串串超市	重庆市	重庆市	江北区	三钢二路6号附9号	106.541435,29.572142	106.55766585007548	29.574639200882807	3.5	[]
零二三火锅(世纪金源店)	重庆市	重庆市	江北区	建新北路二支路世纪金源大饭店负一楼	106.529751,29.574524	106.55766585007548	29.574639200882807	4.5	135.00
上三味老火锅	重庆市	重庆市	江北区	北滨路鎏嘉码头3号	106.563636,29.570129	106.55766585007548	29.574639200882807	4.6	98.00
八秒老火锅(洋河路)	重庆市	重庆市	江北区	洋河路81号附1号	106.542290,29.577290	106.55766585007548	29.574639200882807	4.0	66.00
烫巴适老火锅(江山名门店)	重庆市	重庆市	江北区	海尔路655号附近	106.621391,29.626071	106.55766585007548	29.574639200882807	4.6	58.00
衙门赵二火锅(大石坝店)	重庆市	重庆市	江北区	大石坝五村240号附6号旁	106.490809,29.566773	106.55766585007548	29.574639200882807	3.5	57.00
渝加渔火锅	重庆市	重庆市	江北区	和韵路47-附6号附近	106.758573,29.624844	106.55766585007548	29.574639200882807	3.3	[]
姐妹老火锅(总店)	重庆市	重庆市	江北区	万丰一村15号附3号(近长安融景城)	106.553840,29.579046	106.55766585007548	29.574639200882807	5.0	[]
纸盐河码头火锅(观音桥九街店)	重庆市	重庆市	江北区	北城天街48号九街东区4楼(苏荷酒吧楼外婆桥隔壁)	106.545190,29.579565	106.55766585007548	29.574639200882807	5.0	100.00
西施火锅米线(港城印象店)	重庆市	重庆市	江北区	五里坪海尔路港城印象2栋2号楼	106.644752,29.620524	106.55766585007548	29.574639200882807	4.6	20.00
张记飘香火锅串串(红石路)	重庆市	重庆市	江北区	红石路484号	106.484187,29.566468	106.55766585007548	29.574639200882807	4.9	30.00
奥龙串串(东原D7店)	重庆市	重庆市	江北区	红原路113号附9-10号大石坝东原D7区	106.499756,29.566926	106.55766585007548	29.574639200882807	3.5	55.00
潮尚前线潮汕牛肉火锅(鎏嘉码头店)	重庆市	重庆市	江北区	北滨路鎏嘉码头B区1-15号(水族馆楼上,B区11号电梯上一楼)	106.560057,29.570488	106.55766585007548	29.574639200882807	4.5	105.00
